2024-07-04 12:43:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-07-04 12:43:33 [main] INFO  o.example.day0704.Day0704Application - Starting Day0704Application using Java 17.0.10 with PID 30199 (/Users/kangking/Desktop/beyond/beyond/day0704/build/classes/java/main started by kangking in /Users/kangking/Desktop/beyond/beyond/day0704)
2024-07-04 12:43:33 [main] INFO  o.example.day0704.Day0704Application - No active profile set, falling back to 1 default profile: "default"
2024-07-04 12:43:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-04 12:43:33 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-04 12:43:33 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-04 12:43:33 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-07-04 12:43:33 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-04 12:43:33 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 373 ms
2024-07-04 12:43:33 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-07-04 12:43:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-07-04 12:43:33 [main] INFO  o.example.day0704.Day0704Application - Started Day0704Application in 0.715 seconds (process running for 0.885)
2024-07-04 12:44:24 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-07-04 12:44:24 [main] INFO  o.example.day0704.Day0704Application - Starting Day0704Application using Java 17.0.10 with PID 30227 (/Users/kangking/Desktop/beyond/beyond/day0704/build/classes/java/main started by kangking in /Users/kangking/Desktop/beyond/beyond/day0704)
2024-07-04 12:44:24 [main] INFO  o.example.day0704.Day0704Application - No active profile set, falling back to 1 default profile: "default"
2024-07-04 12:44:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-04 12:44:24 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-04 12:44:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-04 12:44:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-07-04 12:44:24 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-04 12:44:24 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 345 ms
2024-07-04 12:44:25 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-07-04 12:44:25 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-07-04 12:44:25 [main] INFO  o.example.day0704.Day0704Application - Started Day0704Application in 0.719 seconds (process running for 0.894)
2024-07-04 12:45:20 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-07-04 12:45:20 [main] INFO  o.example.day0704.Day0704Application - Starting Day0704Application using Java 17.0.10 with PID 30234 (/Users/kangking/Desktop/beyond/beyond/day0704/build/classes/java/main started by kangking in /Users/kangking/Desktop/beyond/beyond/day0704)
2024-07-04 12:45:20 [main] INFO  o.example.day0704.Day0704Application - No active profile set, falling back to 1 default profile: "default"
2024-07-04 12:45:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-04 12:45:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-04 12:45:20 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-04 12:45:20 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-07-04 12:45:21 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
